,temp,heat_state
2019-12-26 19:05:15+00:00,122.225,100.0
2019-12-26 19:05:30+00:00,122.394,100.0
2019-12-26 19:05:45+00:00,122.675,100.0
2019-12-26 19:06:00+00:00,122.956,100.0
2019-12-26 19:06:15+00:00,123.238,100.0
2019-12-26 19:06:30+00:00,123.4625,100.0
2019-12-26 19:06:45+00:00,123.688,100.0
2019-12-26 19:07:00+00:00,123.9685,100.0
2019-12-26 19:07:15+00:00,124.138,100.0
2019-12-26 19:07:30+00:00,124.475,100.0
2019-12-26 19:07:45+00:00,124.7,100.0
2019-12-26 19:08:00+00:00,124.8685,100.0
2019-12-26 19:08:15+00:00,125.15,100.0
2019-12-26 19:08:30+00:00,125.375,100.0
2019-12-26 19:08:45+00:00,125.6,100.0
2019-12-26 19:09:00+00:00,125.8815,100.0
2019-12-26 19:09:15+00:00,126.162,100.0
2019-12-26 19:09:30+00:00,126.3315,100.0
2019-12-26 19:09:45+00:00,126.5,100.0
2019-12-26 19:10:00+00:00,126.7815,100.0
2019-12-26 19:10:15+00:00,127.062,100.0
2019-12-26 19:10:30+00:00,127.344,100.0
2019-12-26 19:10:45+00:00,127.625,100.0
2019-12-26 19:11:00+00:00,127.794,100.0
2019-12-26 19:11:15+00:00,128.075,100.0
2019-12-26 19:11:30+00:00,128.3,100.0
2019-12-26 19:11:45+00:00,128.525,100.0
2019-12-26 19:12:00+00:00,128.75,100.0
2019-12-26 19:12:15+00:00,128.975,100.0
2019-12-26 19:12:30+00:00,129.2,100.0
2019-12-26 19:12:45+00:00,129.425,100.0
2019-12-26 19:13:00+00:00,129.65,100.0
2019-12-26 19:13:15+00:00,129.875,100.0
2019-12-26 19:13:30+00:00,130.21249999999998,100.0
2019-12-26 19:13:45+00:00,130.438,100.0
2019-12-26 19:14:00+00:00,130.606,100.0
2019-12-26 19:14:15+00:00,130.775,100.0
2019-12-26 19:14:30+00:00,131.1125,100.0
2019-12-26 19:14:45+00:00,131.338,100.0
2019-12-26 19:15:00+00:00,131.6185,100.0
2019-12-26 19:15:15+00:00,131.788,100.0
2019-12-26 19:15:30+00:00,132.0685,100.0
2019-12-26 19:15:45+00:00,132.35,100.0
2019-12-26 19:16:00+00:00,132.5185,100.0
2019-12-26 19:16:15+00:00,132.688,100.0
2019-12-26 19:16:30+00:00,132.9685,100.0
2019-12-26 19:16:45+00:00,133.25,100.0
2019-12-26 19:17:00+00:00,133.5315,100.0
2019-12-26 19:17:15+00:00,133.7,100.0
2019-12-26 19:17:30+00:00,133.9815,100.0
2019-12-26 19:17:45+00:00,134.262,100.0
2019-12-26 19:18:00+00:00,134.4315,100.0
2019-12-26 19:18:15+00:00,134.712,100.0
2019-12-26 19:18:30+00:00,134.8815,100.0
2019-12-26 19:18:45+00:00,135.162,100.0
2019-12-26 19:19:00+00:00,135.3875,100.0
2019-12-26 19:19:15+00:00,135.612,100.0
2019-12-26 19:19:30+00:00,135.83749999999998,100.0
2019-12-26 19:19:45+00:00,136.062,100.0
2019-12-26 19:20:00+00:00,136.28750000000002,100.0
2019-12-26 19:20:15+00:00,136.512,100.0
2019-12-26 19:20:30+00:00,136.79399999999998,100.0
2019-12-26 19:20:45+00:00,137.075,100.0
2019-12-26 19:21:00+00:00,137.244,100.0
2019-12-26 19:21:15+00:00,137.412,100.0
2019-12-26 19:21:30+00:00,137.69400000000002,100.0
2019-12-26 19:21:45+00:00,137.862,100.0
2019-12-26 19:22:00+00:00,138.144,100.0
2019-12-26 19:22:15+00:00,138.425,100.0
2019-12-26 19:22:30+00:00,138.594,100.0
2019-12-26 19:22:45+00:00,138.762,100.0
2019-12-26 19:23:00+00:00,139.1,100.0
2019-12-26 19:23:15+00:00,139.325,100.0
2019-12-26 19:23:30+00:00,139.494,100.0
2019-12-26 19:23:45+00:00,139.662,100.0
2019-12-26 19:24:00+00:00,139.94400000000002,0.0
2019-12-26 19:24:15+00:00,140.112,0.0
2019-12-26 19:24:30+00:00,140.394,0.0
2019-12-26 19:24:45+00:00,140.562,0.0
2019-12-26 19:25:00+00:00,140.844,0.0
2019-12-26 19:25:15+00:00,141.125,0.0
2019-12-26 19:25:30+00:00,141.29399999999998,0.0
2019-12-26 19:25:45+00:00,141.462,0.0
2019-12-26 19:26:00+00:00,141.744,0.0
2019-12-26 19:26:15+00:00,141.912,0.0
2019-12-26 19:26:30+00:00,142.0815,0.0
2019-12-26 19:26:45+00:00,142.25,0.0
2019-12-26 19:27:00+00:00,142.4185,0.0
2019-12-26 19:27:15+00:00,142.588,0.0
2019-12-26 19:27:30+00:00,142.756,0.0
2019-12-26 19:27:45+00:00,142.925,0.0
2019-12-26 19:28:00+00:00,143.094,0.0
2019-12-26 19:28:15+00:00,143.094,0.0
2019-12-26 19:28:30+00:00,143.262,0.0
2019-12-26 19:28:45+00:00,143.375,0.0
2019-12-26 19:29:00+00:00,143.488,0.0
2019-12-26 19:29:15+00:00,143.6,0.0
2019-12-26 19:29:30+00:00,143.6,0.0
2019-12-26 19:29:45+00:00,143.712,0.0
2019-12-26 19:30:00+00:00,143.825,0.0
2019-12-26 19:30:15+00:00,143.825,0.0
2019-12-26 19:30:30+00:00,143.938,0.0
2019-12-26 19:30:45+00:00,144.05,0.0
2019-12-26 19:31:00+00:00,144.162,0.0
2019-12-26 19:31:15+00:00,144.162,0.0
2019-12-26 19:31:30+00:00,144.162,0.0
2019-12-26 19:31:45+00:00,144.275,0.0
2019-12-26 19:32:00+00:00,144.275,0.0
2019-12-26 19:32:15+00:00,144.388,0.0
2019-12-26 19:32:30+00:00,144.388,0.0
2019-12-26 19:32:45+00:00,144.5,0.0
2019-12-26 19:33:00+00:00,144.5,0.0
2019-12-26 19:33:15+00:00,144.5,0.0
2019-12-26 19:33:30+00:00,144.612,0.0
2019-12-26 19:33:45+00:00,144.612,0.0
2019-12-26 19:34:00+00:00,144.612,0.0
2019-12-26 19:34:15+00:00,144.725,0.0
2019-12-26 19:34:30+00:00,144.6685,0.0
2019-12-26 19:34:45+00:00,144.6685,0.0
2019-12-26 19:35:00+00:00,144.6685,0.0
2019-12-26 19:35:15+00:00,144.6685,0.0
2019-12-26 19:35:30+00:00,144.6685,0.0
2019-12-26 19:35:45+00:00,144.838,0.0
2019-12-26 19:36:00+00:00,144.838,0.0
2019-12-26 19:36:15+00:00,144.838,0.0
2019-12-26 19:36:30+00:00,144.838,0.0
2019-12-26 19:36:45+00:00,144.838,0.0
2019-12-26 19:37:00+00:00,144.838,0.0
2019-12-26 19:37:15+00:00,144.838,0.0
2019-12-26 19:37:30+00:00,144.838,0.0
2019-12-26 19:37:45+00:00,144.838,0.0
2019-12-26 19:38:00+00:00,144.838,0.0
2019-12-26 19:38:15+00:00,144.838,0.0
2019-12-26 19:38:30+00:00,144.95,0.0
2019-12-26 19:38:45+00:00,144.95,0.0
2019-12-26 19:39:00+00:00,144.95,0.0
2019-12-26 19:39:15+00:00,144.95,0.0
2019-12-26 19:39:30+00:00,144.95,0.0
2019-12-26 19:39:45+00:00,144.95,0.0
2019-12-26 19:40:00+00:00,144.95,0.0
2019-12-26 19:40:15+00:00,144.95,0.0
2019-12-26 19:40:30+00:00,144.95,0.0
2019-12-26 19:40:45+00:00,144.95,0.0
2019-12-26 19:41:00+00:00,144.95,0.0
2019-12-26 19:41:15+00:00,144.95,0.0
